Grade,Metric,Prefer RATER,Prefer OpenAI Only,No Preference,Total Responses
10,Claim,7,12,1,20
10,Claim,4,6,0,10
10,Evidence,11,9,0,20
10,Evidence,3,7,0,10
10,Overall,6,8,6,20
10,Overall,3,7,0,10
11,Claim,7,8,5,20
11,Claim,12,5,2,19
11,Evidence,9,9,2,20
11,Evidence,9,10,0,19
11,Overall,3,5,12,20
11,Overall,9,10,0,19
12,Claim,5,5,0,10
12,Claim,1,7,2,10
12,Evidence,7,3,0,10
12,Evidence,4,6,0,10
12,Overall,6,4,0,10
12,Overall,4,4,2,10
6,Claim,7,3,0,10
6,Claim,9,10,1,20
6,Evidence,6,4,0,10
6,Overall,5,5,0,10
6,Overall,8,11,1,20
7,Claim,10,0,0,10
7,Claim,10,9,1,20
7,Evidence,7,3,0,10
7,Evidence,10,9,1,20
7,Overall,7,3,0,10
7,Overall,9,11,0,20
8,Claim,11,6,3,20
8,Claim,8,1,1,10
8,Evidence,13,7,0,20
8,Evidence,9,0,1,10
8,Overall,12,8,0,20
8,Overall,8,0,2,10
9,Claim,15,5,0,20
9,Claim,15,5,0,20
9,Evidence,11,9,0,20
9,Evidence,9,11,0,20
9,Overall,9,11,0,20
9,Overall,9,10,1,20
